run,experiment,condition,hidden_layers,neurons_per_hidden_layer,learning_rate,batch_size,train_size,epochs,seed,device_name,best_epoch,best_eval_rmse,training_time,diverged_epoch,test_mse,test_rmse
h1_w128_lr0.001_bs10000_nall_seed0,gpu_sweep,h1_w128_lr0.001_bs10000_nall,1,128,0.001,10000,,1000,0,NVIDIA GeForce RTX 5070 Ti,999,6.338209316428985,2.6280711572617292,,,
h1_w128_lr0.001_bs10000_nall_seed1,gpu_sweep,h1_w128_lr0.001_bs10000_nall,1,128,0.001,10000,,1000,1,NVIDIA GeForce RTX 5070 Ti,990,6.36668601840342,2.6391739323735237,,,
h1_w128_lr0.001_bs10000_nall_seed2,gpu_sweep,h1_w128_lr0.001_bs10000_nall,1,128,0.001,10000,,1000,2,NVIDIA GeForce RTX 5070 Ti,990,6.3769967934951985,2.630099709611386,,,
h1_w128_lr0.001_bs10000_nall_seed3,gpu_sweep,h1_w128_lr0.001_bs10000_nall,1,128,0.001,10000,,1000,3,NVIDIA GeForce RTX 5070 Ti,997,6.6776846755243255,2.645563980564475,,,
h1_w128_lr0.001_bs10000_nall_seed4,gpu_sweep,h1_w128_lr0.001_bs10000_nall,1,128,0.001,10000,,1000,4,NVIDIA GeForce RTX 5070 Ti,988,6.218769015949255,3.282145326025784,,,
h1_w256_lr0.001_bs10000_nall_seed0,gpu_sweep,h1_w256_lr0.001_bs10000_nall,1,256,0.001,10000,,1000,0,NVIDIA GeForce RTX 5070 Ti,994,4.989835325287432,2.9798065763898194,,,
h1_w256_lr0.001_bs10000_nall_seed1,gpu_sweep,h1_w256_lr0.001_bs10000_nall,1,256,0.001,10000,,1000,1,NVIDIA GeForce RTX 5070 Ti,984,5.0214074572945036,2.610299483407289,,,
h1_w256_lr0.001_bs10000_nall_seed2,gpu_sweep,h1_w256_lr0.001_bs10000_nall,1,256,0.001,10000,,1000,2,NVIDIA GeForce RTX 5070 Ti,987,5.133386960100408,3.1968854782171547,,,
h1_w256_lr0.001_bs10000_nall_seed3,gpu_sweep,h1_w256_lr0.001_bs10000_nall,1,256,0.001,10000,,1000,3,NVIDIA GeForce RTX 5070 Ti,992,5.087815273554308,2.737841919064522,,,
h1_w256_lr0.001_bs10000_nall_seed4,gpu_sweep,h1_w256_lr0.001_bs10000_nall,1,256,0.001,10000,,1000,4,NVIDIA GeForce RTX 5070 Ti,997,5.132619264817733,2.996499538887292,,,
h1_w32_lr0.001_bs10000_nall_seed0,gpu_sweep,h1_w32_lr0.001_bs10000_nall,1,32,0.001,10000,,1000,0,NVIDIA GeForce RTX 5070 Ti,1000,10.744214652478568,2.8476500967517495,,,
h1_w32_lr0.001_bs10000_nall_seed1,gpu_sweep,h1_w32_lr0.001_bs10000_nall,1,32,0.001,10000,,1000,1,NVIDIA GeForce RTX 5070 Ti,997,10.901200576598454,2.6501542045734823,,,
h1_w32_lr0.001_bs10000_nall_seed2,gpu_sweep,h1_w32_lr0.001_bs10000_nall,1,32,0.001,10000,,1000,2,NVIDIA GeForce RTX 5070 Ti,925,10.879421343842488,2.628242307342589,,,
h1_w32_lr0.001_bs10000_nall_seed3,gpu_sweep,h1_w32_lr0.001_bs10000_nall,1,32,0.001,10000,,1000,3,NVIDIA GeForce RTX 5070 Ti,972,11.23964740403763,2.9191975528374314,,,
h1_w32_lr0.001_bs10000_nall_seed4,gpu_sweep,h1_w32_lr0.001_bs10000_nall,1,32,0.001,10000,,1000,4,NVIDIA GeForce RTX 5070 Ti,988,10.915577569657009,2.6315520154312253,,,
h1_w64_lr0.001_bs10000_nall_seed0,gpu_sweep,h1_w64_lr0.001_bs10000_nall,1,64,0.001,10000,,1000,0,NVIDIA GeForce RTX 5070 Ti,999,8.319662808407891,3.0654130266048014,,,
h1_w64_lr0.001_bs10000_nall_seed1,gpu_sweep,h1_w64_lr0.001_bs10000_nall,1,64,0.001,10000,,1000,1,NVIDIA GeForce RTX 5070 Ti,1000,8.410862901396845,2.821089045610279,,,
h1_w64_lr0.001_bs10000_nall_seed2,gpu_sweep,h1_w64_lr0.001_bs10000_nall,1,64,0.001,10000,,1000,2,NVIDIA GeForce RTX 5070 Ti,993,8.453675088241717,2.6510062124580145,,,
h1_w64_lr0.001_bs10000_nall_seed3,gpu_sweep,h1_w64_lr0.001_bs10000_nall,1,64,0.001,10000,,1000,3,NVIDIA GeForce RTX 5070 Ti,999,8.230431207644562,2.6424902169965208,,,
h1_w64_lr0.001_bs10000_nall_seed4,gpu_sweep,h1_w64_lr0.001_bs10000_nall,1,64,0.001,10000,,1000,4,NVIDIA GeForce RTX 5070 Ti,983,8.278955681590183,3.379905133508146,,,
h2_w128_lr0.001_bs10000_nall_seed0,gpu_sweep,h2_w128_lr0.001_bs10000_nall,2,128,0.001,10000,,1000,0,NVIDIA GeForce RTX 5070 Ti,995,3.0938472539855053,3.265618234872818,,,
h2_w128_lr0.001_bs10000_nall_seed1,gpu_sweep,h2_w128_lr0.001_bs10000_nall,2,128,0.001,10000,,1000,1,NVIDIA GeForce RTX 5070 Ti,985,3.1446499819878695,3.0965950745157897,,,
h2_w128_lr0.001_bs10000_nall_seed2,gpu_sweep,h2_w128_lr0.001_bs10000_nall,2,128,0.001,10000,,1000,2,NVIDIA GeForce RTX 5070 Ti,984,3.116491560343284,3.110106185544282,,,
h2_w128_lr0.001_bs10000_nall_seed3,gpu_sweep,h2_w128_lr0.001_bs10000_nall,2,128,0.001,10000,,1000,3,NVIDIA GeForce RTX 5070 Ti,999,3.1577359469127253,3.4594408902339637,,,
h2_w128_lr0.001_bs10000_nall_seed4,gpu_sweep,h2_w128_lr0.001_bs10000_nall,2,128,0.001,10000,,1000,4,NVIDIA GeForce RTX 5070 Ti,1000,3.037056307313703,3.08839049981907,,,
h2_w256_lr0.001_bs10000_nall_seed0,gpu_sweep,h2_w256_lr0.001_bs10000_nall,2,256,0.001,10000,,1000,0,NVIDIA GeForce RTX 5070 Ti,999,2.608082068368996,3.7735655289143324,,,
h2_w256_lr0.001_bs10000_nall_seed1,gpu_sweep,h2_w256_lr0.001_bs10000_nall,2,256,0.001,10000,,1000,1,NVIDIA GeForce RTX 5070 Ti,989,2.5727993607646,3.7720989040099084,,,
h2_w256_lr0.001_bs10000_nall_seed2,gpu_sweep,h2_w256_lr0.001_bs10000_nall,2,256,0.001,10000,,1000,2,NVIDIA GeForce RTX 5070 Ti,996,2.6555901998213516,3.76008175406605,,,
